iso3,country,year,gdp_const,labor_force,gcf_const,inflation_cpi,fdi_gdp,gov_consumption_const,broad_money_gdp,education_years_adults,kof_overall,kof_overall_de_facto,kof_overall_de_jure,kof_economic,kof_economic_de_facto,kof_economic_de_jure,kof_trade,kof_trade_de_facto,kof_trade_de_jure,kof_financial,kof_financial_de_facto,kof_financial_de_jure,kof_social,kof_social_de_facto,kof_social_de_jure,kof_interpersonal,kof_interpersonal_de_facto,kof_interpersonal_de_jure,kof_informational,kof_informational_de_facto,kof_informational_de_jure,kof_cultural,kof_cultural_de_facto,kof_cultural_de_jure,kof_political,kof_political_de_facto,kof_political_de_jure,gdp_per_worker,gcf_per_worker,ln_gdp_per_worker,ln_gcf_per_worker,d_ln_gdp_per_worker,gdp_per_worker_growth_pct,crisis_financial_2008_2009,crisis_debt_2010_2012,crisis_covid_2020_2021,crisis_energy_war_2022_2023
BGR,Bulgaria,2015,50765918159.14758,3259536.0,10660807073.22603,-0.104633261008479,4.375750662159008,8167800385.400136,82.57919554800681,11.19,77.7805404663086,73.70992279052734,81.85113525390625,76.17503356933594,75.01222229003906,77.33782958984375,82.97975158691406,79.22852325439453,86.73098754882812,69.37029266357422,70.7959213256836,67.94466400146484,71.85554504394531,66.47374725341797,77.23733520507812,69.93428039550781,65.05047607421875,74.8180923461914,71.53654479980469,65.32623291015625,77.74686431884766,74.09579467773438,69.04454040527344,79.14705657958984,85.3110122680664,79.643798828125,90.97824096679688,15574.58428412743,3270.651734856136,9.653395652071664,8.092744551327693,0.0428405644918346,4.28405644918346,0,0,0,0
BGR,Bulgaria,2016,52302413861.91486,3159813.0,10179114713.22268,-0.798649886453617,2.759960395844594,8346667982.610144,83.47602338803483,11.23,78.16407775878906,74.26988220214844,82.05830383300781,76.67100524902344,75.53679656982422,77.80521392822266,83.00787353515625,79.07215881347656,86.94358825683594,70.33413696289062,72.0014419555664,68.66683959960938,72.30911254882812,67.22618103027344,77.39203643798828,70.36954498291016,66.44342803955078,74.295654296875,72.54606628417969,66.71739196777344,78.37474060058594,74.01173400878906,68.5177230834961,79.5057373046875,85.51215362548828,80.04666900634766,90.9776382446289,16552.376315280322,3221.429468523194,9.714284954502865,8.07758047435274,0.060889302431201386,6.088930243120139,0,0,0,0
BGR,Bulgaria,2017,53738599840.56207,3235284.0,10837766446.5216,2.06159619443141,3.392546583524413,8704308776.017574,83.48730320579848,11.24,78.41710662841797,74.59249877929688,82.24172973632812,77.0888900756836,76.41280364990234,77.76497650146484,83.48001098632812,79.8250732421875,87.13496398925781,70.69775390625,73.0005111694336,68.39498901367188,72.51387023925781,67.04450225830078,77.9832534790039,70.56661987304688,67.90525817871094,73.22798919677734,74.28750610351562,69.17877197265625,79.39622497558594,72.6875,64.0494613647461,81.32555389404297,85.64856719970703,80.3201904296875,90.9769515991211,16610.164622506734,3349.865559413517,9.717770113606194,8.116675492495467,0.0034851591033291385,0.34851591033291385,0,0,0,0
BGR,Bulgaria,2018,54990790971.5665,3181267.0,11857443689.20571,2.81454473824838,2.738178441588417,9169710362.408865,85.14209609637466,11.296666,78.15167999267578,74.34955596923828,81.95378875732422,75.34526062011719,73.93123626708984,76.75926971435547,82.81204986572266,78.67082214355469,86.95327758789062,67.87844848632812,69.19163513183594,66.56526184082031,73.33516693115234,68.54215240478516,78.12816619873047,71.27640533447266,69.82777404785156,72.72503662109375,74.77086639404297,69.92332458496094,79.61840057373047,73.95820617675781,65.87535858154297,82.04105377197266,85.77461242675781,80.57526397705078,90.97396087646484,17285.814416572546,3727.2708292657326,9.757641468201067,8.223431563666557,0.039871354594872344,3.9871354594872344,0,0,0,0
BGR,Bulgaria,2019,57076766353.31304,3209606.0,12220211369.70687,3.10372944796771,3.242334779012034,9353673707.207203,85.61429015304762,11.353333,78.07801055908203,73.9086685180664,82.24736022949219,75.1302719116211,74.50281524658203,75.75772094726562,83.52059173583984,79.6236572265625,87.41752624511719,66.73994445800781,69.38197326660156,64.0979232788086,73.47753143310547,67.26744079589844,79.68760681152344,70.90599822998047,69.55428314208984,72.25772094726562,76.02587127685547,66.68421173095703,85.36752319335938,73.50074005126953,65.5638656616211,81.4376220703125,85.62625122070312,79.95574188232422,91.2967758178711,17783.106821620175,3807.3867539214684,9.786004230677213,8.24469834143046,0.028362762476145775,2.8362762476145775,0,0,0,0
BGR,Bulgaria,2020,55288418257.03893,3132138.0,11766138102.35977,1.67244096855756,3.974342597531469,10133294655.22631,93.91801321079367,11.41,77.41707611083984,72.61065673828125,82.22350311279297,74.02206420898438,72.6319580078125,75.41214752197266,80.3316421508789,73.30529022216797,87.35797882080078,67.71247100830078,71.95862579345703,63.46630859375,72.96913146972656,65.97256469726562,79.9656982421875,69.51607513427734,67.22425842285156,71.80787658691406,76.2767105102539,66.6589584350586,85.89445495605469,73.1146011352539,64.0344467163086,82.19475555419922,85.26004791259766,79.22747039794922,91.2926254272461,17651.973909527274,3756.583554862452,9.778602892342077,8.231265194304417,-0.0074013383351356765,-0.7401338335135677,0,0,1,0
BGR,Bulgaria,2021,59616490915.74791,3082471.0,12909358626.44799,3.29774435299506,2.528841221587227,10183569479.15912,90.13907216016531,11.454531,77.70967102050781,73.19918060302734,82.22020721435547,74.1355209350586,73.3261947631836,74.94482421875,81.74317169189453,76.47863006591797,87.00769805908203,66.5278549194336,70.17375946044922,62.88195037841797,73.48229217529297,66.53888702392578,80.42572021484375,69.50309753417969,67.25698852539062,71.74920654296875,76.6371078491211,66.45040130615234,86.82381439208984,74.30670928955078,65.90927124023438,82.70414733886719,85.5112533569336,79.73242950439453,91.29006958007812,19340.487198662344,4187.99029299805,9.869955959934167,8.339976254174477,0.09135306759208994,9.135306759208994,0,0,1,0
BGR,Bulgaria,2022,62051147380.87582,3134677.0,14093090878.9453,15.3252589264367,5.246615646774968,10995705768.0537,84.56773752558273,11.454531,77.75489044189453,73.20502471923828,82.30472564697266,74.93903350830078,75.44609069824219,74.43196868896484,83.93634796142578,80.65660858154297,87.21607971191406,65.94171905517578,70.23558807373047,61.64786148071289,74.14018249511719,67.45320129394531,80.82719421386719,70.01490020751953,68.03721618652344,71.99256896972656,76.94640350341797,66.5669174194336,87.32588195800781,75.45929718017578,67.7554931640625,83.16310119628906,84.1854019165039,76.71576690673828,91.65503692626953,19795.0689595374,4495.8669996766175,9.8931881432188,8.410913809213513,0.023232183284633834,2.3232183284633834,0,0,0,1
BGR,Bulgaria,2023,63094544094.41546,3134615.0,12294885057.30276,9.44284140088564,5.058883447514875,11117404233.40365,83.70920839896844,11.454531,77.58260345458984,72.82887268066406,82.3363037109375,74.23786163330078,74.0967025756836,74.37901306152344,83.28153228759766,79.38084411621094,87.18222045898438,65.1941909790039,68.81257629394531,61.5758056640625,74.3281478881836,67.68067932128906,80.97562408447266,70.16524505615234,68.40583038330078,71.9246597290039,77.39131164550781,66.966064453125,87.81655883789062,75.4278793334961,67.67013549804688,83.18562316894531,84.1817626953125,76.709228515625,91.654296875,20128.32328512926,3922.295100770831,9.909883220834283,8.274432246345619,0.01669507761548239,1.669507761548239,0,0,0,1
CZE,Czechia,1995,118281953160.1256,5169680.0,32299425253.10589,8.99052361478448,4.23883721598216,27883408709.79217,67.53347088905076,10.044666,67.8289566040039,71.0989990234375,64.55886840820312,62.40581512451172,54.16530990600586,70.64632415771484,71.30282592773438,63.3856315612793,79.22002410888672,53.508811950683594,44.944984436035156,62.07263946533203,64.5822982788086,69.65843200683594,59.50614929199219,48.6306266784668,49.456748962402344,47.80449676513672,62.429100036621094,78.65823364257812,46.19995880126953,82.6871566772461,80.86031341552734,84.51398468017578,76.49869537353516,89.4732437133789,63.52415466308594,22879.93708703935,6247.857750016614,10.038015695797618,8.73999392397747,0.05630912913239072,5.630912913239072,0,0,0,0
CZE,Czechia,1996,123212636052.8057,5173419.0,36799158327.42291,8.75877472878111,2.116802693836066,27844951471.11134,62.78494107215429,10.233334,67.94182586669922,69.94339752197266,65.94025421142578,62.35551834106445,54.383602142333984,70.32743072509766,69.41944122314453,62.809410095214844,76.02945709228516,55.291603088378906,45.957794189453125,64.62540435791016,65.25164031982422,70.34384155273438,60.15944290161133,49.870662689208984,50.91419219970703,48.827125549316406,64.46097564697266,78.95719909667969,49.96474838256836,81.42329406738281,81.16012573242188,81.68646240234375,76.21829986572266,85.10272979736328,67.33386993408203,23816.481141930646,7113.121579254051,10.078133104957562,8.869696467129833,0.04011740915994366,4.011740915994366,0,0,0,0
CZE,Czechia,1997,122478487836.0363,5184785.0,33736809975.32117,8.59615666715564,2.057079795207595,28720808984.19635,59.26211509854355,10.422,70.0046157836914,70.72798919677734,69.28124237060547,65.18950653076172,57.31040954589844,73.0686264038086,71.40638732910156,64.09724426269531,78.71552276611328,58.97264862060547,50.52357864379883,67.4217300415039,67.46483612060547,70.46068572998047,64.468994140625,51.87492370605469,52.35834884643555,51.3914909362793,67.66346740722656,79.21404266357422,56.11289596557617,82.85611724853516,79.80965423583984,85.90257263183594,77.35948944091797,84.4128646850586,70.30609893798828,23622.674389784013,6506.886973195836,10.069962308988893,8.78061642931121,-0.008170795968668543,-0.8170795968668543,0,0,0,0
